Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1950.4135428571426
FDW14,OUT017,1276.3385999999998
NCN55,OUT010,390.2539142857142
FDQ58,OUT017,2665.7680857142855
FDY38,OUT027,6355.631685714286
FDH56,OUT046,2520.7188
FDL48,OUT018,1651.7546857142859
FDC48,OUT027,1974.5725714285713
FDN33,OUT045,2015.947285714286
FDA36,OUT017,2298.531828571429
FDT44,OUT017,1875.463485714286
FDQ56,OUT045,1401.1285428571427
NCC54,OUT019,570.4954857142857
FDU11,OUT049,2697.8215999999998
DRL59,OUT013,1331.6951142857142
FDM24,OUT049,2454.709485714286
FDI57,OUT045,2500.7448
DRC12,OUT018,2553.9136857142853
NCM42,OUT027,2622.8715428571427
FDA46,OUT010,379.1255428571429
FDA31,OUT013,2802.637542857143
NCJ31,OUT035,2350.654457142857
FDG52,OUT046,1164.6744285714287
NCL19,OUT019,297.51748571428567
FDS10,OUT035,2924.5740571428573
FDX22,OUT010,501.2522857142858
NCF19,OUT035,1302.0194571428572
NCE06,OUT046,2876.8266857142858
DRC27,OUT046,3308.1699714285714
FDE21,OUT035,2113.5345428571427
NCR42,OUT019,204.11525714285716
FDX51,OUT018,2595.668857142857
NCR06,OUT018,715.354542857143
FDU31,OUT027,5703.147685714286
FDU59,OUT017,2442.439742857143
FDR03,OUT027,6272.406685714285
FDS49,OUT027,2505.024942857143
FDD48,OUT010,259.2815428571429
NCF18,OUT017,3845.5656857142853
NCD43,OUT027,2070.4477714285717
NCD54,OUT018,1856.9162
FDY19,OUT010,199.16931428571428
NCY54,OUT017,2685.4567428571427
NCL19,OUT018,1602.2001428571425
FDP23,OUT010,368.1874000000001
FDC26,OUT013,2239.4658571428567
FDR14,OUT010,349.35477142857144
NCS41,OUT035,2977.7429428571427
FDF41,OUT035,3720.5855142857145
FDU34,OUT046,1962.4930571428572
DRH11,OUT046,1282.7112571428572
FDM03,OUT013,1782.8221714285714
FDS31,OUT017,3645.9208
FDJ20,OUT017,1771.2182285714284
FDV44,OUT027,4647.3791142857135
FDG02,OUT049,2300.5292285714286
FDA09,OUT013,3349.4495714285717
FDT04,OUT013,904.1563999999998
FDL58,OUT019,476.90302857142854
FDE52,OUT045,1353.0958285714285
FDW12,OUT035,2377.096228571428
FDL51,OUT017,3798.674342857143
NCY42,OUT027,2994.3879428571427
FDR07,OUT017,1894.6765714285716
FDN40,OUT045,1871.7540285714288
FDB35,OUT027,2108.4934857142857
FDA22,OUT017,3372.4672285714287
NCL06,OUT046,3095.0188571428575
FDI35,OUT013,3052.6929999999998
NCW42,OUT045,3417.931857142857
NCX06,OUT049,3311.308742857143
FDC37,OUT027,2438.2547142857147
FDZ14,OUT018,1643.0041714285715
DRG49,OUT049,2605.9412
NCG06,OUT045,3131.2574
DRC36,OUT045,2210.7413428571426
FDV21,OUT019,277.8288285714286
FDB53,OUT046,2253.7329999999997
DRP47,OUT019,229.51077142857142
FDA14,OUT013,2036.4919714285716
DRC24,OUT035,2948.447742857143
FDW21,OUT018,1282.2356857142859
NCH29,OUT046,1484.1633142857147
FDU58,OUT013,3003.233571428572
FDY27,OUT017,2539.3612
FDV56,OUT035,2016.8033142857144
FDT59,OUT046,3839.953942857143
FDB23,OUT046,2795.6942000000004
FDR49,OUT045,1410.7350857142858
FDB03,OUT010,511.71485714285706
FDN39,OUT045,2631.2416000000003
FDX02,OUT027,5232.141742857143
FDQ16,OUT027,2347.4205714285713
FDU35,OUT018,2505.500514285715
NCT29,OUT013,1941.3776857142857
FDZ27,OUT046,1080.212942857143
FDN57,OUT017,2059.8900857142858
FDA03,OUT018,1851.684914285714
FDZ36,OUT045,3365.238542857143
NCU05,OUT013,1273.7705142857142
FDT39,OUT018,2595.668857142857
